"","edge_liked_by.count","edge_media_to_caption.edges","shortcode","tags","Year"
"1",2259,"[{'node': {'text': 'Papa, Gründungsmitglied von @vcakampala, setzt unsere Serie  #waterisahumanright in Uganda fort 💙\n📸 @papashotit'}}]","BpcSHGgFC-T","['waterisahumanright']","2018"
"2",37750,"[{'node': {'text': 'In love with this photo series by @noralorek for @natgeo In August the one millionth refugee escaped the war in South Sudan and entered Uganda. Here women stand framed by their Milaya, a traditional Sudanese handmade bed linen. One of the few processions they were able to take when they abandoned their homes. This tradition of embroidery continues as they settle in Bidibidi, what is now the largest refugee camp in the world.'}}]","BZeox2MlErk","[]","2017"
"3",1203,"[{'node': {'text': 'This 6 year old girl was separated from her parents as she fled the war in South Sudan. @savechildrenuk estimate that one fifth of the world’s children are currently living in a conflict zone. Sometimes we can feel completely powerless in the face of such misery, but actually there is something you can do to help. Go sign the @savechildrenuk petition (link is in my bio) to get the government to help protect more kids like this lovely one. If all of you signed it you could make a real difference. It will take less than five minutes... go on, you know you want to! #savethechildren pics by @lerneryd'}}]","Bt-cVflgLYX","['savethechildren']","2019"
"4",1417,"[{'node': {'text': 'Soon, we’ll launch a Kickstarter for the @milayaproject, a non-profit that will connect South Sudanese women with customers who want to buy hand-embroidered pillowcases, bedspreads, and wall hangings.\n\nSeventeen-year-old Besta Selwa took her brothers and sisters and fled South Sudan when the fighting started. They had already lost their father and had to leave their mother. The schools in the camp are overcrowded and ill-equipped, but she continues studying with the hopes of becoming an accountant.\n\nThe civil war in South Sudan has displaced two million people. When refugees arrived to Uganda they carried their only possessions wrapped in milayas—ornately embroidered sheets that have been passed down for generations. Today, in Bidibidi, the second largest refugee camp in the world, milayas are still being sewn. But there are few customers.\n\nThe Milaya Project is a non-profit that will connect South Sudanese women with customers who want to support the traditional artform. A Kickstarter will fund women’s collectives in Bidibidi to expand their businesses and sell embroidered pillowcases, bedspreads, and wall hangings internationally.\nPhoto by @noralorek text by @ninasabina24'}}]","Bt14RffAaML","[]","2019"
"5",1514,"[{'node': {'text': 'Kila Jani, 28, from Yei, South Sudan\n”I have two kids. My youngest is only two months old and I gave birth to her here in the settlement. It was difficult since I couldn’t prepare for labor and had no money to buy clothes for my newborn. My husband is here with me but he’s not doing anything. In South Sudan he was a teacher and I was taking care of everything at home.”\n.\n”If peace comes we can go back, my husband will get a job in school and somehow we will manage to live on our life.”\n.\n.\nAbout the Milaya portrait series:\nIn August the one millionth refugee from South Sudan entered Uganda in escape of the war.\xa0\nWith most of the refugees being women and children and leaving during shootings at night their bedsheets called Milaya are often one of the few things they carry. The handmade patterns have been made in South Sudan and Sudan for generations and the tradition of the Milayas continues in what has become their temporary home while waiting for the war to end. Bidibidi is with its more than 270 000 people considered one of the worlds largest refugee settlements.'}}]","BgQMIdxlo-W","[]","2018"
"6",1626,"[{'node': {'text': '“I came here when I was pregnant but left my two kids with relatives in South Sudan. My husband is a rebel but there is no way to communicate so I don’t know if he’s alive or not. Last time I spoke to him on the phone was before I left South Sudan the 15th of August 2016. There was an attack on our area so I had to leave really aprupt. I came only with the clothes I was wearing”, Nyilet Nyowien, 25 with Regina Nyasebit 5 months old and born in Bidibidi.\n.\nIn August the one millionth refugee from South Sudan entered Uganda in escape of the war.\xa0\nWith most of the refugees being women and children and leaving during shootings at night their bedsheets called Milaya are often one of the few things they carry with them. The handmade patterns have been made in South Sudan and Sudan for generations and the tradition of the Milayas continues in what has become their temporary home while waiting for the war to end. Bidibidi is now with its more than 270.000 people considered the worlds largest refugee settlement.\n.\nOn assignment for @natgeo July/August 2017.'}}]","BaLy2MiFmtt","[]","2017"
"7",3124,"[{'node': {'text': '200 students. One teacher.\n.\nIn Yangani Primary School, in Bidi Bidi refugee settlement in Uganda, there isn’t enough space for all the students. Children occupy every available space, with as many as five sharing a desk. Some sit on the floor, with others standing at the back and in the aisles, clutching their books to their chests. Sometimes because of the congestion, they stand next to the teacher at the front of the class.\n.\nYangani school opened in February this year to cater to the rapidly growing numbers of South Sudanese refugees. Seeing the full-to-the-brim classrooms at first hand, you are left in little doubt that there is plenty of demand for education. .\nThis Tuesday we launch our annual report on the state of refugee education worldwide. Join us here for a week-long special focus on the challenges refugees face in going back to school. #refugees #education #school #children'}}]","BY6i3FKgn7D","['education', 'school', 'refugees', 'children']","2017"
"8",1534,"[{'node': {'text': 'Alafi John, 11, is holding up a a clay man pushing a wheelbarrow. For more pictures from the new @natgeo feature and a great text by @ninasabina24 check out the Toy story. \n_____\n\nIn Bidibidi, a remote refugee settlement in Uganda, South Sudanese kids create their own entertainment from mud, paper, and plastic. Here cardboard boxes from shipments of humanitarian supplies get a second chance as toy cars, trucks, and buses. \n_____\n\nThese kids would have been the first generation to grow up in an independent South Sudan, if war hadn’t so quickly dispelled them. Today, more than 1 million children have fled the country, building new lives in refugee camps scattered in Uganda and other neighbors of South Sudan. Even in the most remote places, kids learn how to entertain themselves and for the nearly 200,000 children living in Bidibidi the malleable red dirt provides something to play with.'}}]","BrkY39JhmGP","[]","2018"
"9",1477,"[{'node': {'text': ""Farida Sunday, 35 and her one month old daughter Blessing Happy, born in Bidibidi Refugee Settlement.\n.\n”I’m living here with my eight children. My husband went back to South Sudan to cultivate, but I’ve never seen any food or money coming out of his business. The food we receive here is not enough so I have to ask my neighbors for help. I’ve tried to tell my husband that he has to work for the children so they can get a better life. But he’s doing nothing.”\n.\nIn August, the one millionth refugee from South Sudan entered Uganda to escape the war.\n.\nWith most of the refugees being women and children who leave in the night during shootings, their bedsheets called Milaya are often one of the few things they carry. The handmade patterns have been made in South Sudan and Sudan for generations, and the tradition of the Milayas continues in what has become their temporary home while waiting for the war to end.\n.\nBidibidi, with more than 270 000 people, is considered one of the world's largest refugee settlements.\n.\nThis project\xa0started as an assignment for @natgeo last summer and is now published in the May issue. See the project via the link in the bio.""}}]","BkQVTYrlfhf","[]","2018"
"10",67,"[{'node': {'text': 'The Bidibidi Artist Team!! Last month I had a pleasure of working with South Sudanese and Ugandan artists who have continued the mission since then, leading mural and video projects with children in Africa’s largest refugee settlement. Amazing work everyone! \n@artolution @unhcruganda #bidibidi #refugeecampart #joelartista #southsudan #uganda #rainbow #artpower'}}]","BwW20HsHVuU","['southsudan', 'rainbow', 'artpower', 'joelartista', 'refugeecampart', 'uganda', 'bidibidi']","2019"
